PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado;Sucesso;Origem
20120201;0;7;14604;4;14;0;0;82;0.020542317;0;0.056902219;0.922555464;300;0;831;13473;0;2;0;16;3456;1;1945;11;99;0;0
20120101;17;29;66940;14;109;3485;11;2576;0.005363012;0.158739169;0.192963848;0.642933971;359;10626;12917;43038;0;12;0;111;19086;3;5748;60;569;1;0
20120101;0;2;2027;0;3;0;0;0;0;0;0;1;0;0;0;2027;0;0;0;6;600;0;0;0;19;0;0
20120101;1;12;9919;1;12;0;0;0;0;0.223006351;0.714285714;0.062707934;0;2212;7085;622;0;2;0;16;2474;1;1998;7;65;1;0
20120101;14;22;38556;7;65;1235;2;496;0.040512501;0;0.108984334;0.850503164;1562;0;4202;32792;0;7;0;40;8504;3;7048;55;281;1;0
20120101;9;21;38430;6;44;3246;0;600;0.071610721;0.034296123;0.283164195;0.610928962;2752;1318;10882;23478;0;7;0;42;8448;3;4371;34;228;1;0
20120101;8;25;41808;7;53;726;0;526;0;0.218522771;0.140666858;0.640810371;0;9136;5881;26791;0;12;0;57;13988;3;3348;27;297;1;0
20120101;1;8;13707;16;43;444;0;0;0;0;0.114467061;0.885532939;0;0;1569;12138;0;0;0;16;3167;1;954;19;162;0;0
20120101;0;9;17712;3;25;0;0;0;0.027495483;0.191790876;0.271341463;0.509372177;487;3397;4806;9022;0;4;0;46;7244;2;2229;20;158;1;0
20120101;25;24;61106;9;92;1463;69;8147;0;0.239141819;0.382924754;0.377933427;0;14613;23399;23094;0;10;0;74;10073;3;6687;118;489;1;0
20120101;4;13;24062;4;29;2486;0;339;0;0.208253678;0.338417422;0.4533289;0;5011;8143;10908;0;15;0;35;7143;2;5208;33;197;0;0
20120101;14;14;23885;2;8;0;0;1134;0;0.04341637;0.094913125;0.861670505;0;1037;2267;20581;0;10;0;0;0;3;7221;37;132;0;0
20120101;1;13;21754;2;39;0;3;810;0.034292544;0.027581135;0.044681438;0.893444884;746;600;972;19436;0;2;0;17;5303;1;2213;24;152;0;0
20120101;24;27;49501;8;43;2986;0;460;0.098038423;0;0.144562736;0.75739884;4853;0;7156;37492;0;9;0;52;10690;3;7417;46;277;1;0
20120101;16;15;35252;12;42;2330;4;2569;0.080222399;0;0;0.919777601;2828;0;0;32424;0;5;0;35;10289;3;3533;42;191;1;0
20120101;36;28;61471;13;134;2311;2;2304;0.016772136;0.192887703;0.476582454;0.313757707;1031;11857;29296;19287;0;8;0;66;19778;3;4255;45;478;1;0
