f0,f1,evadido
1.5, 8.85, 1
1.75, 8.1, 1
2.85, 7.85, 1
3.05, 8.9, 1
4.55, 8.05, 1
3.4, 7.5, 1
3.4, 8, 1
2.45, 8.55, 1
2.25, 8.95, 1
4.75, 9.1, 1
4.35, 7.85, 1
6.25, 7.45, 1
7.05, 8.3, 1
7.7, 6.9, 1
10, 6.7, 1
10.45, 7.65, 1
12.8, 7.1, 1
13.55, 6.6, 1
20.05, 8.05, 1
17.6, 8.95, 1
13.3, 10.15, 1
11.25, 10.1, 1
10.9, 8.5, 1
9.4, 8.65, 1
7.45, 7.2, 1
5.55, 7.05, 1
5.3, 8.8, 1
4.35, 8.6, 1
3.6, 9.1, 1
2.65, 9.4, 1
2.7, 8.45, 0
4.05, 7.9, 0
4.4, 8.9, 0
6.3, 9.85, 0
6, 8.1, 0
8.8, 7.55, 0
6.95, 8.95, 0
7.6, 9.55, 0
5.95, 7.5, 0
4.35, 7.1, 0
7.75, 7.35, 0
8.65, 7.2, 0
9.4, 6.9, 0
10.35, 8.2, 0
12.2, 7.55, 0
12.45, 6.8, 0
11.6, 6.75, 0
7.7, 8.2, 0
9.55, 9.4, 0
13.2, 8.95, 0
12.85, 7.45, 0
12.15, 6, 0
15.4, 6.35, 0
14.95, 6.85, 0
13.55, 7.9, 0
17.3, 8.85, 0
16.95, 7.7, 0
18.1, 6.7, 0
17.1, 5.45, 0
18.3, 6.1, 0
19.3, 6.65, 0
18.85, 8.1, 0
16.9, 8, 0
15.7, 8.85, 0
16.1, 9.95, 0
14.95, 9.4, 0
14.7, 9.1, 0
14.05, 8.35, 0
11.9, 8.85, 0
11.7, 9.2, 0
8.75, 9.2, 0
9.3, 10.05, 0
9.4, 10.35, 0
7.2, 9.2, 0
7.1, 8.65, 0
5.15, 9.5, 0
5.05, 9.6, 0
3.6, 8.85, 0
3.35, 8.2, 0
1.95, 8.5, 0
7.25, 8.1, 0
6.45, 7.4, 0
6.2, 9.05, 0
5.05, 7.8, 0
6.9, 7, 0
9.75, 6.95, 0
10.4, 7.55, 0
10.85, 6.45, 0
14.65, 8, 0
15.5, 7.65, 0
16.9, 6.25, 0
15.35, 6.15, 0
14.35, 5.95, 0
11.45, 8.3, 0
13.05, 9.05, 0
12.05, 9.55, 0
10.85, 9.2, 0
9.05, 8.1, 0
8.2, 8.55, 0
18.05, 7.6, 0
18.35, 5.75, 0
16.5, 7.7, 1
19.1, 6.15, 1
9.75, 8.65, 1
6.05, 7.95, 1
