,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
0,9,44,34,48530,19,413,0,4434
1,5,9,6,18399,13,159,0,4603
2,2,6,3,6413,9,86,1,4603
3,0,0,0,0,1,1,1,4603
4,54,11,6,23393,9,144,0,4603
5,0,4,2,6083,4,55,1,4603
6,3,8,5,7383,6,50,1,4603
7,0,0,0,0,0,0,1,4603
8,2,8,6,10307,9,95,1,4603
9,0,0,0,0,0,0,1,4603
10,6,18,11,20876,13,139,0,4448
11,18,36,9,41779,16,373,0,4448
12,12,12,8,15420,12,139,0,4448
13,14,9,24,17319,13,108,1,4448
14,1,2,0,3309,6,37,1,4448
15,2,2,7,17209,6,126,0,4448
16,41,2,6,13659,7,97,0,4433
17,3,12,14,12918,11,136,0,4433
18,2,29,14,22686,14,188,0,4433
19,0,19,8,13656,8,117,1,4433
20,0,0,0,315,1,4,1,4433
21,0,0,0,1996,5,11,1,4433
22,13,43,12,27708,17,335,0,4433
23,15,17,17,21146,8,141,1,4434
24,0,0,0,0,0,0,1,4434
25,1,4,2,2867,3,27,1,4434
26,2,4,5,8384,6,78,0,4435
27,11,53,17,46463,14,502,1,4435
28,69,7,10,22105,9,110,1,4435
29,43,1,5,8011,6,31,1,4435
30,11,9,8,22416,11,228,1,4435
31,31,8,9,16536,7,108,0,4435
32,70,2,5,11337,3,29,0,4435
33,14,5,10,18732,10,102,1,4433
34,4,12,9,13022,8,81,0,4433
35,9,2,10,11788,13,84,0,4433
36,1,1,1,3986,6,38,1,4434
37,32,16,13,18327,11,196,1,4434
38,2,6,6,6937,6,39,0,4434
39,7,10,15,16524,11,168,0,4434
40,13,12,5,10087,10,66,1,4434
41,26,7,6,22620,12,176,1,4434
42,4,14,12,20283,8,163,1,4435
43,8,9,12,19043,13,160,0,4435
44,48,19,9,31767,13,275,0,4435
45,90,31,9,29376,11,225,0,4435
46,13,7,12,11483,5,49,1,4435
47,113,18,21,28479,16,176,0,4435
48,2,9,17,21013,13,346,1,4114
49,0,6,2,4877,5,71,1,4114
50,24,9,4,11278,5,77,1,4114
51,3,3,6,23605,13,211,0,4114
52,0,0,0,672,1,16,1,4435
53,3,6,9,18137,8,112,0,4448
54,14,16,3,12750,10,100,0,4603
55,16,6,4,26958,15,178,0,4603
56,23,11,15,13063,10,123,0,4603
57,2,4,3,14669,7,74,0,4603
58,26,5,1,17549,7,85,1,4603
59,2,8,1,6706,10,46,0,4603
60,4,8,3,10437,10,89,0,4603
61,11,8,3,20611,8,152,1,4603
62,2,8,8,4796,8,41,1,4603
63,9,8,5,25162,13,188,1,4603
64,6,17,2,13498,12,145,1,4603
65,2,6,2,3992,4,33,0,4603
66,17,7,15,20273,15,176,0,4448
67,0,0,2,1933,3,10,1,4448
68,15,6,8,24877,10,149,0,4448
69,18,16,12,16060,9,125,1,4448
70,3,1,6,13376,10,167,1,4435
71,0,5,4,7417,7,38,1,4435
72,0,1,0,1982,2,12,1,4435
73,9,7,13,14687,12,156,0,4434
74,3,19,9,27346,12,133,0,4434
75,6,9,3,9958,9,90,1,4434
76,14,13,7,13641,10,60,0,4434
77,4,6,11,16748,12,239,0,4435
