,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
0,12638,14,4,10,156,11,1,4604
1,3165,0,0,0,26,3,1,4604
2,13896,6,11,0,109,11,1,4605
3,21896,6,18,0,257,8,0,4605
4,8367,11,4,0,96,6,0,4605
5,6607,0,2,0,42,3,0,4605
6,5401,0,3,0,40,4,1,4605
7,704,1,0,0,6,2,1,4605
8,13803,1,17,0,65,4,1,4605
9,6515,5,1,0,42,6,1,4605
10,14797,6,9,0,132,11,0,4605
11,9623,8,0,0,133,7,1,4605
12,1052,0,0,0,6,3,1,4604
13,1252,0,0,0,4,4,1,4604
14,0,0,0,0,0,0,1,4604
15,1040,0,0,0,18,2,1,4605
16,7234,7,2,0,88,5,1,4605
17,30157,34,26,22,197,18,0,4605
18,1333,2,0,0,13,3,1,4605
19,19735,23,8,0,202,14,0,4605
20,0,0,0,0,0,0,1,4605
21,16828,8,2,0,119,13,1,4605
22,24377,5,3,0,135,13,0,4605
23,28362,25,10,0,261,10,0,4605
24,17837,12,19,0,263,11,0,4605
25,3018,1,1,0,32,4,1,4605
26,7325,7,1,0,57,8,1,4605
27,8954,11,13,0,55,11,1,4605
28,7836,3,3,0,50,8,0,4605
29,2375,3,0,0,22,3,1,4605
30,1526,2,0,0,8,2,1,4605
31,8379,3,3,0,142,12,1,4605
32,34021,15,39,125,404,19,0,4605
33,0,0,0,0,0,0,1,4605
34,15967,9,3,18,161,10,0,4604
35,20116,8,4,1108,230,9,0,4604
36,14876,14,2,0,156,14,1,4604
37,9182,10,6,334,51,8,0,4604
38,15861,10,12,300,87,10,0,4604
39,20263,10,2,300,174,15,0,4604
40,21138,9,18,0,133,13,0,4604
41,0,0,0,0,0,0,1,4604
42,27245,6,11,153,363,15,0,4604
43,2330,0,0,0,15,4,1,4604
44,0,0,0,0,0,0,1,4604
45,4224,3,7,0,23,5,1,4604
46,0,0,0,0,0,0,1,4604
47,14419,6,6,0,106,12,0,4604
48,772,2,0,0,12,2,1,4605
49,2776,7,0,0,30,4,1,4605
50,6425,2,5,300,39,7,0,4605
51,8062,15,1,0,56,13,1,4605
52,10309,7,6,24,77,6,1,4605
53,10921,4,22,0,75,9,0,4605
54,8065,0,1,0,41,3,1,4605
55,4507,0,18,0,18,2,1,4605
56,7891,4,1,0,101,7,1,4605
57,23306,6,9,0,157,19,0,4605
58,1026,0,0,0,9,1,1,4605
59,0,0,0,0,0,0,1,4605
60,10165,8,2,0,74,10,1,4605
61,3399,0,0,0,31,3,1,4605
62,17404,12,2,0,154,12,1,4605
63,3080,2,1,0,22,3,0,4605
64,14230,5,12,0,113,6,0,4605
65,11058,6,6,0,109,9,0,4605
66,14648,8,1,0,113,14,0,4605
67,9183,5,4,0,43,3,0,4605
68,20362,12,32,0,139,11,0,4605
69,694,1,0,0,5,2,0,4605
70,1112,1,0,0,10,3,1,4605
71,0,0,0,0,0,0,1,4605
72,23616,10,3,0,156,16,1,4605
73,10604,9,8,0,117,10,0,4605
74,5941,4,1,0,58,7,0,4605
75,30372,20,46,35,207,14,0,4605
76,17199,12,3,618,235,14,0,4605
77,25739,15,13,76,174,17,1,4605
78,20969,8,12,0,128,12,0,4605
79,25084,21,6,0,178,13,0,4605
80,18247,8,9,0,91,11,1,4605
81,6156,4,1,0,52,9,1,4605
82,5382,4,4,52,75,6,0,4604
83,11225,14,4,50,99,8,0,4604
84,26117,17,5,321,241,15,0,4604
85,5921,2,0,0,65,4,1,4604
86,1988,3,0,0,10,4,1,4604
87,10036,1,10,0,57,6,1,4604
88,18021,4,8,0,94,10,0,4604
89,0,0,0,0,1,1,1,4604
90,14567,10,2,300,109,14,0,4605
91,0,0,0,0,0,0,1,4605
92,3406,4,1,0,42,3,0,4604
93,5139,3,3,0,53,6,1,4604
94,11069,4,1,0,73,10,1,4604
95,15863,8,16,111,132,10,0,4604
96,9834,12,21,0,77,9,1,4605
97,0,0,0,0,0,0,1,4605
98,6719,1,6,0,94,6,0,4604
99,16722,4,15,0,101,10,0,4604
100,31403,19,36,45,254,17,1,4604
101,453,0,0,0,12,2,1,4604
102,23441,25,19,76,248,15,1,4604
103,5537,2,8,0,42,5,0,4604
104,18931,23,26,78,137,13,0,4605
105,0,0,0,0,0,0,1,4605
106,7141,2,4,0,133,4,0,4604
107,2953,3,3,0,15,3,1,4604
108,12571,3,6,0,90,13,0,4604
109,359,0,0,0,5,1,1,4605
110,0,0,0,0,0,0,1,4605
111,4052,3,2,0,36,5,1,4605
112,22539,16,18,39,218,13,0,4605
113,11284,5,3,0,113,10,1,4605
114,58285,39,86,357,482,20,0,4605
115,5726,3,1,0,46,7,0,4604
116,13187,5,2,0,83,13,1,4605
117,16610,6,42,0,85,10,1,4605
118,14024,15,4,3,165,8,1,4605
119,18249,8,13,0,114,10,0,4605
120,6494,4,3,0,47,6,1,4605
121,2780,2,1,0,22,5,0,4605
122,11446,3,3,0,105,9,0,4605
123,2439,2,3,0,32,4,0,4605
124,30607,33,9,69,258,18,0,4605
125,9262,6,2,0,65,10,1,4605
126,32492,27,40,0,210,17,0,4605
127,3582,0,0,0,24,2,1,4604
128,0,0,0,0,0,0,1,4604
129,17532,2,18,0,129,9,0,4604
130,11128,13,3,24,120,13,0,4604
131,724,0,0,0,5,1,1,4604
132,11811,3,18,0,88,10,0,4604
133,1476,1,0,0,15,4,1,4604
134,12132,6,2,0,99,11,0,4604
135,8627,3,6,0,70,11,0,4604
136,9581,14,4,0,106,9,0,4604
137,3079,2,3,0,27,3,0,4604
138,2625,0,2,0,24,1,1,4130
139,7727,5,1,0,51,10,0,4130
