,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
0,1,0,11,1945,0,14604,1,4912
1,3,3485,60,5748,17,66940,0,4428
2,0,0,0,0,0,2027,1,4428
3,1,0,7,1998,1,9919,0,4428
4,3,1235,55,7048,14,38556,0,4428
5,3,3246,34,4371,9,38430,0,4428
6,3,726,27,3348,8,41808,0,4428
7,1,444,19,954,1,13707,1,4428
8,2,0,20,2229,0,17712,0,4428
9,3,1463,118,6687,25,61106,0,4428
10,2,2486,33,5208,4,24062,1,4428
11,3,0,37,7221,14,23885,1,4429
12,1,0,24,2213,1,21754,1,4429
13,3,2986,46,7417,24,49501,0,4429
14,3,2330,42,3533,16,35252,0,4429
15,3,2311,45,4255,36,61471,0,4429
16,3,869,82,6392,8,69095,1,4429
17,3,3088,53,8363,12,48155,1,4429
18,3,3175,37,4361,30,55066,0,4429
19,3,0,79,3939,2,37911,0,4429
20,1,99,8,1325,7,14068,1,4429
21,3,1662,19,2615,15,30058,0,4429
22,3,4392,27,2181,17,45730,0,4429
23,3,747,29,4131,3,22488,0,4428
24,0,0,1,0,0,3929,1,4428
25,3,7906,42,5222,28,60013,0,4428
26,3,2895,28,4044,10,33761,0,4428
27,1,0,22,726,0,68924,0,4428
28,3,919,34,5652,25,54399,0,4428
29,3,2103,53,5860,13,71059,0,4428
30,3,4065,48,3630,26,58942,0,4428
31,3,2026,106,10589,22,102795,0,4428
32,0,0,1,0,0,3593,1,4428
33,2,2,25,3281,1,14555,0,4428
34,0,0,0,0,0,0,1,4428
35,3,726,41,4935,8,32782,0,4224
36,2,0,15,2213,0,23297,0,4224
37,1,1473,35,4469,14,45033,1,4224
38,3,4781,43,7745,46,72016,0,4224
39,3,1707,32,3004,10,24384,0,4224
40,3,3180,42,5788,8,43922,0,4224
41,3,0,30,4850,8,25750,0,4224
42,3,1402,59,3283,9,44448,0,4224
43,3,6428,36,4838,37,53457,0,4224
44,3,1103,50,5155,8,36316,0,4224
45,3,3440,40,2241,24,74184,0,4224
46,3,9436,117,8746,37,78773,0,4224
47,3,1328,39,5656,12,38033,0,4224
48,3,1087,40,2412,11,57343,0,4224
49,3,2318,40,3943,39,42116,0,4224
50,3,617,39,5907,9,44469,0,4224
51,3,5979,49,4218,29,51349,0,4224
52,3,4651,44,3566,21,46934,0,4224
53,2,0,25,2199,5,20558,1,4429
54,3,5306,43,2887,49,64633,0,4429
55,3,4346,245,4238,31,86688,0,4429
56,2,485,42,5023,4,42013,1,4429
57,3,1565,72,6878,6,58013,1,4429
58,1,600,8,1127,11,15945,1,4429
59,3,6503,52,4105,17,75748,0,4429
60,3,848,46,3979,15,52048,1,4429
61,3,2496,25,3583,13,27323,0,4429
62,0,0,2,0,0,4255,1,4429
63,1,0,9,140,0,11114,1,4429
64,0,0,0,0,0,0,1,4429
65,0,327,5,515,3,17187,1,4428
66,3,1506,30,4105,20,54835,0,4428
67,2,948,16,2978,17,37800,1,4428
68,2,460,17,1768,9,28447,0,4428
69,2,166,20,5247,14,21085,1,4428
70,3,1686,45,3913,24,47087,0,4428
71,3,1465,105,6697,12,61305,1,4428
